feature,importance
cases_lag_1,0.24714748915902668
cases_lag_3,0.21600357323108751
cases_lag_2,0.19451374716298223
humidity_pct,0.04022561263058974
rainfall_mm,0.03643552529330281
temp_mean_c,0.03494141090046342
rainfall_3m_avg,0.032018831648577155
month,0.02734754322913772
season_Dry,0.026937916813660034
year,0.026679810146190065
temp_3m_avg,0.018109667412731106
season_Long_Rains,0.011740693812063573
county_Busia,0.006902090666383033
county_Vihiga,0.006624499629124224
season_Short_Rains,0.0064621803329722735
county_Kakamega,0.00619937003401441
county_Kisumu,0.0048043192818324415
county_Siaya,0.0046365359233182185
county_Nairobi City,0.004203823036704123
county_Bungoma,0.004196589180089731
county_Migori,0.003878440247408863
county_Turkana,0.0038657051897129638
county_Kilifi,0.0035954087148583067
county_Kiambu,0.0035812377821646986
county_Nyandarua,0.003490609036371518
county_Homa Bay,0.0030586481579390075
county_Kwale,0.0024475336115634887
county_Nandi,0.0018257050478817176
county_Nakuru,0.0018062531495066179
county_Elgeyo/marakwet,0.0016677224217765284
county_Nyamira,0.0016143455863082926
county_Laikipia,0.0013396994673081392
county_Kisii,0.0012858653525897369
county_West Pokot,0.0008617125970548375
county_Mombasa,0.0008488065021269828
county_Trans Nzoia,0.0007807185117079195
county_Bomet,0.0007741455354627607
county_Taita/taveta,0.000767597350820625
county_Narok,0.0006518383845101451
county_Makueni,0.00047288539497115597
county_Murang’a,0.0004632564791546175
county_Kajiado,0.00044443888058204843
county_Kericho,0.0003762262269672019
county_Uasin Gishu,0.0003611165164187989
county_Meru,0.00035784691820283765
county_Wajir,0.0003486436897219697
county_Baringo,0.0003338980061985566
county_Isiolo,0.000297437974670479
county_Kitui,0.000282844414138162
county_Machakos,0.000266241199251854
county_Garissa,0.00023542231715963603
county_Embu,0.00023411723568876396
county_Nyeri,0.00022022849378369394
county_Lamu,0.00020061618373580983
county_Kirinyaga,0.000189006290572926
county_Samburu,0.00018436854217492116
county_Marsabit,0.0001752688358803912
county_Tharaka-Nithi,0.000112697821549394
county_Mandera,0.00010258335975523666
county_Tana River,6.763304809772961e-05
